2018,,,,,,,,,,,,,,,
RK,NAME,TEAM,POS,GMS,TFL,SCK,QB HIT,INT,FR,SFTY,DEF TD,RETURN TD,PTS ALLOWED,PPG,FPTS
22,Washington Commanders,WAS,DST,16,88,46,97,13,9,0,0,1,417,5.8,92
23,Carolina Panthers,CAR,DST,16,95.5,53,111,14,7,2,1,0,464,5.7,91
24,Houston Texans,HOU,DST,16,67,31,93,12,10,0,2,0,377,5.6,90
25,Cleveland Browns,CLE,DST,16,87.5,38,83,14,6,0,1,0,377,5.4,87
26,Los Angeles Chargers,LAC,DST,16,74.5,30,67,11,4,0,0,1,327,5.2,84
27,New York Giants,NYG,DST,16,102.5,36,100,10,6,1,2,1,425,5.1,82
28,Detroit Lions,DET,DST,16,60,28,72,7,12,0,1,2,411,5,80
29,Las Vegas Raiders,LV,DST,16,88.5,32,68,9,6,0,2,0,399,4.4,70
30,Cincinnati Bengals,CIN,DST,16,73,31,84,11,5,1,0,1,390,4.2,67
30,Arizona Cardinals,ARI,DST,16,116,40,97,7,10,0,0,0,424,4.2,67
32,Miami Dolphins,MIA,DST,16,56.5,23,67,13,3,1,1,,,,
,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,
1,Indianapolis Colts,IND,DST,16,87.5,40,81,15,11,3,4,3,348,9.4,151
2,Pittsburgh Steelers,PIT,DST,16,118,56,140,18,10,1,3,0,306,9.4,150
3,Los Angeles Rams,LAR,DST,16,80.5,53,104,14,8,1,4,0,278,9.3,149
4,Baltimore Ravens,BAL,DST,16,87.5,39,119,10,13,2,3,1,291,8.9,143
5,Miami Dolphins,MIA,DST,16,87.5,41,99,18,10,0,2,1,330,8.7,139
6,Washington Commanders,WAS,DST,16,93.5,47,100,16,7,1,3,0,317,7.9,127
7,New Orleans Saints,NO,DST,16,97.5,45,113,18,8,0,1,0,335,7.6,122
8,Buffalo Bills,BUF,DST,16,96.5,38,96,15,11,0,3,1,375,7.4,118
9,Tampa Bay Buccaneers,TB,DST,16,108.5,48,116,15,10,1,1,0,343,7.3,117
10,Kansas City Chiefs,KC,DST,16,57.5,32,100,16,7,2,2,2,360,6.9,110
11,Arizona Cardinals,ARI,DST,16,103,48,105,11,10,1,0,0,345,6.7,107
12,New England Patriots,NE,DST,16,58.5,24,68,18,4,0,2,2,341,6.5,104
13,Philadelphia Eagles,PHI,DST,16,114.5,49,116,8,13,1,2,1,408,6.4,103
13,Seattle Seahawks,SEA,DST,16,101,46,114,14,9,3,0,0,365,6.4,103
13,New York Giants,NYG,DST,16,89,40,107,11,11,0,2,0,349,6.4,103
16,Carolina Panthers,CAR,DST,16,72,29,91,7,15,0,3,0,402,6.1,97
17,Cleveland Browns,CLE,DST,16,78.5,38,79,11,10,2,2,0,405,5.9,94
17,Green Bay Packers,GB,DST,16,72.5,41,82,11,7,1,2,0,363,5.9,94
19,Chicago Bears,CHI,DST,16,78.5,35,91,10,8,1,1,1,358,5.6,90
20,San Francisco 49ers,SF,DST,16,78.5,30,72,12,8,0,1,0,366,5.5,88
21,Dallas Cowboys,DAL,DST,16,69.5,31,79,10,13,0,2,1,449,4.9,78
22,Denver Broncos,DEN,DST,16,76,42,96,10,6,0,0,1,424,4.6,74
23,Atlanta Falcons,ATL,DST,16,82,29,92,12,9,0,1,0,414,4.5,72
23,Los Angeles Chargers,LAC,DST,16,63,27,88,12,7,1,2,0,424,4.5,72
25,Tennessee Titans,TEN,DST,16,60.5,19,70,15,8,0,2,1,437,4.4,70
26,New York Jets,NYJ,DST,16,96.5,31,87,10,10,1,1,0,437,4.1,65
27,Minnesota Vikings,MIN,DST,16,62.5,23,70,15,7,1,0,0,453,3.6,57
28,Jacksonville Jaguars,JAX,DST,16,66,18,77,12,5,0,1,2,488,3.2,52
29,Houston Texans,HOU,DST,16,77,34,79,3,8,0,1,0,454,3,48
30,Cincinnati Bengals,CIN,DST,16,54,17,72,11,6,0,0,1,412,2.8,45
31,Las Vegas Raiders,LV,DST,16,71.5,21,76,10,5,0,0,0,460,2.4,39
32,Detroit Lions,DET,DST,16,75,24,60,7,5,1,0,1,501,1.7,27
,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,Dallas Cowboys,DAL,DST,17,72,41,114,26,9,0,6,3,340,10.7,182
2,New England Patriots,NE,DST,17,60,36,86,23,7,0,3,0,279,9.3,158
3,Miami Dolphins,MIA,DST,17,73,48,128,14,14,0,5,1,365,9.1,155
4,Buffalo Bills,BUF,DST,17,90,42,91,19,11,1,1,0,289,8.7,148
5,Tampa Bay Buccaneers,TB,DST,17,82,47,127,17,13,0,2,0,341,8.4,143
6,New Orleans Saints,NO,DST,17,88,46,113,18,7,0,2,0,317,8.3,141
7,Indianapolis Colts,IND,DST,17,56,33,86,19,16,1,1,2,359,8.1,138
8,Kansas City Chiefs,KC,DST,17,55,31,91,15,15,0,4,0,358,7.7,131
9,Arizona Cardinals,ARI,DST,17,76,41,100,13,15,0,2,0,356,7.4,126
10,Minnesota Vikings,MIN,DST,17,61,51,99,16,9,0,2,2,426,7.2,123
10,Tennessee Titans,TEN,DST,17,69,43,93,16,6,0,3,0,354,7.2,123
12,Los Angeles Rams,LAR,DST,17,85,50,95,19,6,0,0,1,342,7.1,121
13,Green Bay Packers,GB,DST,17,51,39,93,18,10,0,2,0,371,7,119
14,San Francisco 49ers,SF,DST,17,98,48,103,9,12,0,2,0,363,6.9,118
15,Denver Broncos,DEN,DST,17,65,36,82,13,6,0,1,0,304,6.6,113
16,Pittsburgh Steelers,PIT,DST,17,94,55,106,13,10,0,0,1,386,6.4,109
17,Cincinnati Bengals,CIN,DST,17,80,42,99,13,8,0,2,0,358,6.4,108
18,Philadelphia Eagles,PHI,DST,17,70,29,83,12,4,0,5,0,377,6.3,107
18,Chicago Bears,CHI,DST,17,77,49,83,8,9,1,2,1,395,6.3,107
20,Cleveland Browns,CLE,DST,17,76,43,101,13,7,0,2,0,365,6.2,106
21,Washington Commanders,WAS,DST,17,59,38,104,11,8,0,3,1,420,5.9,101
22,Seattle Seahawks,SEA,DST,17,68,34,92,11,7,1,0,1,360,5.5,93
23,New York Giants,NYG,DST,17,53,34,79,15,9,1,1,0,396,5.4,91
24,Carolina Panthers,CAR,DST,17,83,39,94,9,8,1,0,1,390,5.2,88
25,Houston Texans,HOU,DST,17,81,32,71,17,8,1,1,1,452,5.1,87
26,Baltimore Ravens,BAL,DST,17,76,34,96,9,6,0,1,0,374,4.9,83
27,Los Angeles Chargers,LAC,DST,17,65,35,88,11,10,0,1,1,441,4.6,78
28,Las Vegas Raiders,LV,DST,17,65,35,113,6,11,1,0,0,421,4.1,69
29,Jacksonville Jaguars,JAX,DST,17,63,32,83,7,3,0,1,2,445,3.9,67
30,Atlanta Falcons,ATL,DST,17,58,18,58,12,8,0,2,0,439,3.6,62
31,New York Jets,NYJ,DST,17,71,33,88,7,7,0,1,1,498,3.5,59
32,Detroit Lions,DET,DST,17,58,30,63,11,8,0,0,0,455,3.4,58
,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,New England Patriots,NE,DST,17,72,54,93,19,12,0,7,1,335,10.9,186
2,Dallas Cowboys,DAL,DST,17,93,54,110,16,18,0,3,0,324,9.9,168
3,San Francisco 49ers,SF,DST,17,77,44,121,20,10,0,3,0,267,9.5,161
4,Philadelphia Eagles,PHI,DST,17,97,70,124,17,10,0,2,0,324,9.1,154
5,Buffalo Bills,BUF,DST,17,92,40,99,17,10,2,1,2,285,8.8,150
6,Jacksonville Jaguars,JAX,DST,17,80,35,113,14,13,0,4,0,350,8.2,139
7,Baltimore Ravens,BAL,DST,17,77,48,95,14,11,0,0,1,309,7.6,130
8,Kansas City Chiefs,KC,DST,17,85,55,118,11,9,1,2,0,369,7.1,121
9,Washington Commanders,WAS,DST,17,89,43,108,9,9,1,3,0,329,6.9,118
10,Indianapolis Colts,IND,DST,17,91,44,90,10,14,0,2,1,397,6.8,116
11,Green Bay Packers,GB,DST,17,68,34,87,17,7,1,2,1,363,6.8,115
11,Seattle Seahawks,SEA,DST,17,75,45,98,14,11,0,1,1,387,6.8,115
13,New York Jets,NYJ,DST,17,81,45,128,12,5,2,0,1,314,6.7,114
14,Houston Texans,HOU,DST,17,95,39,80,16,12,1,1,0,378,6.6,112
15,Cincinnati Bengals,CIN,DST,17,54,30,94,13,12,0,1,0,313,6.5,110
15,Cleveland Browns,CLE,DST,17,68,34,66,11,10,0,3,1,379,6.5,110
15,New Orleans Saints,NO,DST,17,77,48,87,7,7,0,1,0,321,6.5,110
18,New York Giants,NYG,DST,17,73,41,106,6,14,0,2,0,369,6.2,106
19,Carolina Panthers,CAR,DST,17,88,35,90,10,8,0,3,0,362,6.1,104
20,Pittsburgh Steelers,PIT,DST,17,68,40,83,20,4,0,1,0,340,6.1,103
21,Los Angeles Rams,LAR,DST,17,68,38,80,16,6,0,1,0,364,6,102
21,Tampa Bay Buccaneers,TB,DST,17,89,45,104,10,10,0,1,0,358,6,102
23,Arizona Cardinals,ARI,DST,17,86,36,104,11,9,0,5,0,437,5.9,101
23,Los Angeles Chargers,LAC,DST,17,76,40,76,14,10,1,1,0,378,5.9,101
25,Denver Broncos,DEN,DST,17,64,36,81,15,8,1,0,0,341,5.9,100
26,Minnesota Vikings,MIN,DST,17,81,38,88,15,10,0,1,1,415,5.8,99
27,Detroit Lions,DET,DST,17,76,39,100,12,10,1,1,1,407,5.7,97
27,Miami Dolphins,MIA,DST,17,75,40,102,8,6,1,2,1,383,5.7,97
27,Tennessee Titans,TEN,DST,17,76,39,104,14,7,0,1,0,347,5.7,97
30,Atlanta Falcons,ATL,DST,17,57,21,69,10,7,1,2,2,386,4.9,83
31,Las Vegas Raiders,LV,DST,17,63,27,79,6,7,0,3,0,400,4.3,73
32,Chicago Bears,CHI,DST,17,67,20,43,14,9,0,0,0,451,3.4,57
